gene_name	A2780_rep1	A2780_rep2	A2780_rep3	Acis_rep1	Acis_rep2	Acis_rep3
DYRK4	128	99	105	120	119	108
ZNF207	1211	1199	1092	962	1056	978
UQCRC1	615	620	558	565	534	494
STARD3NL	206	218	204	132	132	132
CD9	23	14	19	100	95	82
NCAPD2	1500	1494	1336	1517	1494	1364
IFFO1	162	146	139	211	187	181
GIPR	36	21	20	48	42	39
PHF7	88	78	50	81	78	75
SEMA3G	36	18	25	61	64	58
NISCH	876	800	711	793	746	625
STAB1	2	2	2	3	1	7
FUZ	130	147	123	87	101	69
SLC6A13	0	0	1	2	0	0
IDS	53	34	34	48	54	50
ZNF200	295	288	277	207	245	220
CD4	1	3	3	1	0	3
LRRC23	41	39	32	45	26	32
BTK	1	0	1	0	0	0
HFE	68	81	76	57	58	57
SCMH1	504	503	468	486	474	450
FYN	45	40	40	6	5	8
HIVEP2	11	9	7	27	19	26
ELOA	1160	1166	1010	785	799	775
LYPLA2	258	273	237	268	267	247
CLCN6	242	223	205	195	187	181
MRC2	721	709	620	746	680	567
TSPAN9	151	115	114	824	767	675
BTBD7	721	703	571	571	561	521
APBA3	150	134	106	125	121	111
MKS1	164	138	154	121	140	144
ABHD5	229	230	203	206	244	216
ANOS1	0	1	0	1	2	2
AKAP8L	464	426	431	421	355	370
MBTD1	388	372	317	180	201	169
UTP18	468	448	395	424	438	416
RNF216	786	765	671	750	724	641
TTC19	427	397	376	310	345	309
PTBP1	1887	1864	1700	1944	1933	1751
DPF1	104	77	71	52	49	53
SYT7	12	16	13	81	77	76
LARS2	846	837	734	707	641	641
PIK3C2A	1135	1099	1040	705	776	749
PLAUR	221	195	177	87	67	80
ANLN	1125	1110	1004	1182	1185	1061
WIZ	876	818	774	950	859	784
RABGAP1	822	809	767	446	414	454
DCN	54	54	34	2	4	4
QPCTL	192	190	155	200	166	152
PPP5C	740	713	674	636	635	628
CEP68	357	371	328	268	266	265
MAP4K3	465	419	398	327	351	348
ZBTB32	1	0	0	0	0	2
TYROBP	3	1	2	0	0	1
TMEM159	6	5	4	32	38	24
BRCA1	1118	1026	958	863	855	819
ERCC1	421	407	369	423	398	421
SEMA3B	38	27	31	14	14	26
MBTPS2	433	433	403	263	255	244
PRICKLE3	232	225	202	303	289	249
LTF	10	4	2	0	0	0
EXTL3	927	903	742	596	566	492
ELOVL5	854	833	772	816	849	782
CALCOCO1	104	102	88	59	61	44
UBR7	418	433	381	281	298	285
MAP4K5	622	654	599	545	620	570
EHD3	300	289	234	282	290	263
PSMC4	639	620	567	639	619	553
MAN2B2	137	143	112	291	265	221
CLDN11	13	16	11	44	34	42
SLC25A39	615	619	543	774	756	705
MVP	124	129	90	156	146	110
NUB1	442	426	391	343	337	315
PGM3	482	432	440	439	435	434
RWDD2A	55	59	48	82	88	86
CLK1	338	332	293	283	298	309
POLR3B	504	444	445	346	376	334
ANGEL1	343	309	272	287	265	255
RNF14	329	320	269	242	231	226
DNASE1L1	101	87	70	98	81	81
DDX11	422	405	390	380	375	367
HEBP1	267	268	244	262	276	263
GPRC5A	3	3	5	10	15	13
MAMLD1	1	1	3	69	69	71
TACC3	1049	1046	948	1087	1037	978
UFL1	288	299	264	261	291	242
POLA2	135	128	96	127	103	89
ZC3H3	351	321	251	417	373	338
CAPN1	661	619	540	606	623	531
MDH1	557	540	508	434	472	416
SLC30A9	652	631	568	510	551	524
MTMR11	147	159	128	400	376	343
COX15	278	258	218	199	210	213
CCDC88C	288	293	269	500	435	460
YAF2	197	175	167	151	180	175
ZMYND11	784	746	671	645	650	644
WAS	9	9	7	9	11	8
BID	249	220	194	303	278	270
MATR3	190	204	165	174	221	236
XYLT2	343	340	294	422	372	347
NUDCD3	556	526	476	536	494	459
ISL1	276	317	263	3	7	3
CHDH	36	42	35	27	21	13
GLT8D1	333	352	288	383	389	371
ATP2C1	862	818	753	760	791	722
SLC38A5	6	5	8	2	1	2
RALBP1	647	609	590	602	667	600
RUFY3	388	344	331	410	445	455
CNTN1	11	6	8	0	0	0
SLC11A1	6	9	3	2	4	4
WWTR1	712	689	626	442	485	415
AGPS	851	799	730	680	712	706
CXorf56	228	195	186	119	111	122
ATP1A2	7	7	7	0	0	0
TTC27	484	482	417	435	446	416
ZNF582	2	2	4	0	1	0
PHLDB1	741	703	641	677	626	639
PRDM11	191	132	132	62	75	66
SNAI2	498	494	446	109	113	96
CD74	14	17	10	38	40	34
HGF	3439	3437	3190	1874	2049	1812
ZRANB1	389	363	322	377	423	389
NCDN	700	627	548	595	543	490
ADGRA2	649	607	603	133	121	114
ZFP64	852	812	729	892	860	767
MNAT1	275	280	253	136	154	130
SAMD4A	411	398	397	345	298	314
RUNX3	2	1	0	594	502	457
MRE11	444	444	368	172	211	188
PLEKHB1	25	26	28	22	17	28
SERPINB1	6	8	7	0	0	0
SPAST	437	449	375	414	426	403
NRXN3	4	4	2	0	0	0
OSBPL5	160	119	103	73	64	70
AQR	1375	1330	1172	1269	1322	1220
CPS1	12	12	10	8	9	9
FHL1	282	250	240	269	279	247
RTF2	276	299	265	262	258	247
GABRA1	3	8	5	0	0	0
NLRP2	413	399	363	233	247	201
SLC45A4	150	134	137	364	328	310
RNF10	903	839	784	778	740	685
ZNF839	235	251	193	175	168	175
ZDHHC6	310	315	264	221	259	216
RNH1	602	601	503	679	655	567
NDUFS1	1271	1268	1107	943	979	943
RB1CC1	843	779	694	834	918	855
ERP44	404	417	370	373	409	400
ALAS1	416	411	376	415	387	377
BIRC3	24	28	27	42	43	42
AKAP11	1155	1089	984	742	780	734
GLRX2	523	492	473	380	428	388
SNAPC1	128	119	143	100	123	105
DERA	206	186	159	109	122	99
STRAP	734	724	670	613	668	593
ABCC2	11	19	11	3	8	7
DEF6	18	28	9	207	196	163
PLEKHO1	486	497	445	408	372	360
GCLM	394	391	388	165	222	184
UBR2	808	780	714	796	845	813
EHD2	9	13	14	4	1	4
DEPDC1	636	640	528	609	666	602
CCDC28A	22	15	26	19	19	32
RRAGD	104	96	98	48	72	60
HSF2	254	252	247	479	513	454
PHF20	601	539	549	436	469	437
HSD17B6	4	4	1	7	3	2
NR1H3	100	83	72	31	24	37
TYMP	8	10	9	9	7	6
NCAPH2	476	442	389	459	433	376
TOMM34	485	421	430	459	426	419
SEC63	575	579	514	462	452	449
KPNA6	1301	1289	1143	1043	1085	1003
VIM	2089	2044	1973	1852	1853	1754
RTEL1-TNFRSF6B	27	27	26	25	36	19
FAS	155	151	148	248	276	250
RNASET2	46	53	28	84	81	59
KCNG1	171	150	143	216	223	216
AGPAT4	52	63	66	7	4	7
BTN3A1	136	121	129	34	20	23
MIPEP	237	221	214	285	317	305
PRKCH	306	261	271	27	28	11
IFNGR1	54	59	48	65	78	65
B4GALT7	214	196	195	157	160	147
SH2D2A	21	23	24	0	0	0
VRK2	275	274	251	201	208	209
VEZT	420	426	401	431	455	444
POU2F2	4	8	5	3	2	1
BRD9	541	493	425	540	563	521
SNX1	576	624	508	387	360	366
TBPL1	165	151	127	74	74	66
ARNTL2	56	64	53	437	482	454
BCLAF1	862	865	781	705	798	709
SLC39A9	761	788	684	715	775	683
ANK1	112	124	110	187	140	118
TFB1M	112	122	112	101	96	101
RABEP1	1081	1037	983	988	1041	975
HMGB3	513	505	456	451	477	428
NUP160	1205	1162	1045	1045	1084	993
BAK1	132	113	80	83	88	77
IKZF2	110	100	98	0	0	0
GRN	587	539	486	435	438	380
FAM13B	321	304	246	207	243	230
ARHGAP31	6	2	4	18	16	18
CENPQ	87	80	75	63	77	74
SARS1	911	923	820	455	431	415
RANBP3	741	774	608	703	634	603
ARID4A	324	315	306	292	309	322
EIPR1	289	273	248	129	118	109
PNPLA6	399	405	327	387	410	353
IFT88	372	322	306	134	145	151
ALG1	256	236	215	282	279	217
ZCCHC8	514	511	447	327	354	339
ABCF2	344	310	272	342	333	298
CHPF2	450	419	366	439	422	350
LRRC7	28	29	14	534	549	532
FUT8	327	309	291	265	276	272
UBA6	860	866	813	500	580	526
GAB2	93	101	74	43	42	40
ATP6V0A1	482	489	408	387	401	396
PIAS1	438	399	391	308	318	311
SLC4A7	730	688	689	725	841	759
APBA2	398	395	345	484	463	422
MAP2K3	288	283	256	496	461	417
EFCAB1	37	24	34	4	4	1
TMSB10	205	200	189	205	204	191
ASTE1	120	101	97	97	88	82
RNF19A	284	299	253	322	345	328
PEX3	53	48	43	38	60	48
GABARAPL2	192	197	172	130	131	132
MYOC	0	0	0	14	14	13
SH3YL1	201	206	185	64	69	62
FAM136A	472	452	387	490	466	425
VCL	3146	3116	2855	1586	1608	1440
DEPDC1B	265	247	195	155	168	140
DAPK2	6	4	4	17	13	11
NSMAF	529	511	491	794	765	720
ADSS2	407	384	353	360	380	343
TIMP2	282	262	229	186	201	158
RFC1	995	961	850	789	774	750
TBC1D23	526	541	443	170	162	198
CUL3	932	922	830	814	831	755
MYOM2	3	0	1	0	4	4
CYP46A1	6	4	6	8	6	3
ZZZ3	639	623	546	499	528	441
USP2	64	69	53	76	61	63
TUBG2	84	84	77	121	111	115
RPL26L1	120	104	83	100	100	87
FLT4	122	140	116	151	128	123
NSUN2	1023	1023	867	1215	1171	1102
FBXO42	408	422	353	325	330	316
MFAP3	305	278	251	174	192	200
MRI1	377	367	310	459	438	391
METTL1	123	108	86	138	144	132
HOXC8	572	563	526	336	344	335
AGA	52	51	61	18	37	23
PI4K2B	191	219	177	194	234	202
BOD1L1	1292	1312	1195	1149	1051	1059
MAT2B	380	378	324	433	475	458
EDC4	679	688	607	679	681	550
TRIO	1545	1584	1360	1685	1621	1543
VCAN	1321	1351	1198	9	6	4
CLEC16A	422	392	358	417	406	369
MSR1	30	48	29	0	0	0
MTREX	1017	991	870	847	876	797
DNAH5	7	10	5	1	1	3
ZFYVE16	945	950	821	636	667	640
RIPOR1	606	565	501	741	667	667
RAI14	683	649	561	680	707	624
PNKP	355	339	301	314	337	275
BEST2	0	0	3	2	1	0
PHLPP2	506	480	398	561	550	523
SPDL1	498	519	449	406	408	404
STAU2	589	577	542	317	337	345
SLC66A1	206	222	176	209	169	174
CTNS	260	243	212	272	281	264
RTN4R	41	47	24	86	91	71
PHF23	623	590	559	541	502	482
CDH10	382	366	350	3	7	4
INPP4A	474	435	370	350	319	279
PSMA4	592	569	525	511	556	498
LSG1	601	598	550	653	616	614
PARP3	68	65	69	92	82	75
TNC	93	82	70	8	19	7
THAP3	142	136	108	146	138	109
RIPOR3	13	9	6	0	0	0
TDP1	407	374	361	305	283	304
AIFM2	7	5	3	13	10	4
SPATA7	28	27	22	29	35	27
MED17	168	167	158	163	152	146
RETSAT	161	184	169	165	180	155
CAPG	14	11	12	3	5	1
AP2S1	315	306	285	247	259	219
USH2A	156	148	143	1	0	0
TG	0	0	0	1	0	0
ADAM28	3	2	0	2	0	0
BARX2	1	0	0	5	6	7
DCUN1D1	359	392	344	288	357	337
JADE2	510	455	420	435	377	351
ZIC2	17	12	13	1	0	0
TRIT1	365	347	294	292	323	321
ADRB1	14	11	9	0	1	0
CUL7	476	471	411	528	526	463
CTNNA1	1264	1274	1127	1334	1300	1182
PHKA2	413	398	392	500	463	455
CNTLN	373	406	355	357	396	388
EPHA3	1071	1045	942	2	1	2
HSPA5	1499	1460	1365	1596	1580	1428
DSG2	56	42	40	0	0	0
GEMIN8	93	95	73	95	97	76
OFD1	479	456	404	502	508	503
GPM6B	4	5	7	37	41	32
MAGEC2	3	1	4	0	0	0
PREX2	56	49	36	0	1	0
WDR37	228	191	169	130	100	96
YTHDC2	688	739	627	769	774	724
CTPS2	259	240	225	186	181	200
ATP6V1H	356	325	288	309	291	276
POLR2B	1170	1135	1015	1172	1198	1100
FAM214A	80	97	90	51	50	60
ARAP2	5	7	8	3	1	5
TPR	3259	3225	2954	3084	3085	2870
CP	169	180	177	0	0	0
KATNIP	294	260	287	327	301	304
DTNBP1	146	144	129	180	172	161
XK	2	0	1	1	3	2
C12orf4	311	288	294	269	306	280
SCML1	2	0	3	5	4	4
WWC3	426	437	385	499	530	450
ARHGAP6	8	6	4	1	0	0
FAM184B	4	3	0	1	0	0
MAP4	1969	1899	1728	1931	1818	1757
GOPC	301	280	257	224	252	223
USP28	443	461	422	431	394	403
HDAC9	779	768	750	0	0	0
TSPAN17	331	335	293	366	330	328
NOP16	370	362	354	356	338	309
CC2D2A	341	313	292	516	462	499
RRM2B	334	348	329	314	364	340
ZNF800	437	413	387	462	522	447
SNX29	111	80	97	61	70	53
LMO3	31	31	19	1	0	0
MRPS10	231	226	198	144	137	127
RSF1	1344	1334	1257	832	842	858
VPS13D	999	947	833	768	800	797
CELF2	5	0	1	0	0	0
FAM120A	1275	1250	1149	1386	1453	1288
R3HDM1	1087	1013	1036	1044	1034	992
COL9A2	17	18	11	1	0	0
KITLG	188	195	162	1147	1295	1097
ERCC8	164	145	122	154	148	145
ADAMTS6	266	252	214	9	7	9
H6PD	532	506	430	163	165	141
VAMP3	433	441	396	358	406	343
PER3	578	534	462	492	485	465
EPN3	7	4	6	2	3	2
LTBP1	66	48	53	48	45	52
RCN1	320	349	297	234	250	237
RFC2	394	391	356	322	333	305
ARID1B	536	494	483	440	419	438
CLPTM1L	1026	1020	882	937	959	825
NEDD4L	347	360	281	196	217	193
FOXP3	7	4	8	6	3	3
PPP1R3F	40	38	35	40	43	29
HEXB	375	352	312	429	411	363
PTCD2	363	329	293	215	219	259
NEXMIF	298	286	246	472	452	445
JKAMP	263	271	227	228	278	245
DKK3	31	32	19	21	24	17
NFE2L3	65	73	72	254	272	263
MCUR1	444	486	396	374	364	355
LIMA1	575	556	484	535	543	542
LETMD1	315	299	286	298	320	296
SLC4A8	13	6	7	7	9	9
LAMC3	64	55	58	776	710	606
PTGER3	3	2	4	284	326	303
TNIP3	21	20	30	0	0	0
MAPK9	494	489	469	402	447	398
COL23A1	71	78	70	242	229	204
BCAR1	636	644	508	652	609	546
FAM160A2	220	207	169	240	219	201
HERPUD1	397	411	367	300	294	291
HOMER3	86	66	76	106	100	104
RAD51	243	214	205	217	236	220
POLQ	747	714	641	680	680	685
PIK3CB	423	415	385	357	382	365
CYBA	1	2	3	0	0	2
THOC3	61	65	53	56	69	54
HEBP2	77	70	64	137	144	140
MPHOSPH9	689	659	626	480	550	514
PLEKHA5	421	411	413	48	41	46
PRSS8	4	5	4	0	0	1
SIKE1	698	674	614	242	305	269
RRP12	889	855	694	966	927	831
FNIP2	494	462	428	349	370	305
MSMO1	175	189	162	261	299	282
TTC17	720	718	707	691	733	646
ALX4	36	43	39	1	2	2
FOXN3	592	571	524	389	367	338
AKR7A2	237	234	219	187	186	179
MRTO4	606	545	500	601	581	554
USE1	106	100	87	141	134	124
MCF2L2	4	4	3	12	6	7
LAMA3	0	1	0	6	12	7
AP5M1	416	394	391	295	323	311
ANAPC4	350	357	322	284	280	292
KCNQ1	1	0	0	6	12	7
TRAPPC3	325	313	303	307	285	250
THRAP3	1685	1659	1513	1572	1557	1456
PHPT1	262	239	221	245	203	205
ENTPD2	2	2	1	43	27	22
ARID4B	835	795	753	679	727	678
OPN3	25	18	13	17	22	27
SDCCAG8	162	131	132	101	87	95
PTPRN	4	2	2	0	0	0
HHAT	3	4	3	9	13	12
KIF1B	1227	1270	1113	1104	1110	1058
FOXC1	208	190	192	79	81	93
TBC1D22A	154	186	133	121	128	111
SYNE2	918	894	802	1066	990	980
PLEKHH1	169	174	128	196	166	188
ATP9A	641	623	539	379	399	345
CHRDL2	2	5	2	3	2	0
FAM168A	651	645	593	647	641	580
RELT	195	181	151	215	200	174
GALC	234	193	172	184	194	157
NOP58	828	822	722	823	827	760
SZRD1	943	921	844	884	824	802
KCNH2	184	192	168	92	85	65
CUL1	915	886	805	779	805	733
FAM114A2	186	210	201	153	166	134
CYFIP2	385	367	379	122	110	102
TAB2	517	493	465	319	359	329
GINM1	100	96	85	111	101	100
EIF2AK2	1566	1519	1377	1037	1098	1052
USP36	724	700	659	850	779	730
KMT2C	2066	1989	1779	1879	1809	1780
MCOLN3	10	10	7	82	85	70
CCDC85A	13	9	6	0	2	1
PUM2	1189	1283	1155	970	1037	931
MRPL43	249	225	217	199	192	202
HPF1	144	129	139	87	102	107
ZFR	1074	1084	992	969	961	944
ZNF280C	375	402	367	288	273	295
NPFFR2	2	0	0	7	9	6
PHF21B	230	204	198	282	233	230
TRAF1	2	3	3	2	0	0
RC3H2	1128	1158	1013	806	877	849
IL17RB	2	6	8	2	2	4
TRAF3IP2	24	22	18	25	29	22
GYG2	390	397	336	435	435	366
DCBLD2	771	735	660	175	194	212
SOAT1	889	883	822	649	761	694
PKP2	2	5	1	7	6	5
MSH4	17	22	13	24	31	22
GDI2	960	902	849	879	896	822
PRDM1	8	7	8	0	0	0
ATG5	276	253	245	275	298	281
TMCC3	73	67	64	3	5	4
PITHD1	340	361	304	353	307	299
MTA3	480	474	473	313	291	287
USP13	826	800	723	450	450	468
ATP11B	707	750	654	109	127	131
CDK14	2	1	2	10	3	6
SEC61A1	1602	1585	1397	1708	1718	1555
PPP1R12A	969	941	911	829	864	850
CAMK2B	10	5	9	38	48	30
CROCC	267	257	233	251	235	212
POLR3E	695	694	599	638	590	550
ATP2B4	419	385	365	801	798	751
ZC3H11A	13	16	10	6	6	11
RIOK2	409	364	337	358	359	319
YIPF1	142	128	120	74	77	93
NDC1	943	962	840	912	969	861
DGKG	1	1	0	2	3	1
FLYWCH1	368	339	282	175	179	135
UNKL	351	342	321	365	355	334
TBXAS1	1	2	0	9	8	7
ALDH18A1	866	813	768	899	906	822
TARBP1	522	502	459	493	535	491
GATB	249	250	213	270	228	238
MXD1	119	88	81	72	60	71
CDK17	229	239	252	236	261	272
DNAJC25	155	148	111	102	114	118
SLC2A3	825	831	779	644	643	591
PSD	24	21	15	71	72	41
CTDP1	413	420	376	490	465	391
YBX3	791	856	781	631	657	577
STYK1	5	5	3	0	1	0
WNK1	3085	3034	2788	2588	2505	2398
RPS17P5	2	0	0	0	0	1
CCAR1	1289	1293	1183	1045	1045	1020
OGFR	594	600	492	561	489	448
PIGV	114	96	83	79	97	75
PTPRU	191	210	172	285	270	261
SNRNP40	585	582	523	480	495	463
COL11A1	327	356	308	3694	3703	3323
QSER1	1882	1839	1664	1555	1650	1508
MPC1	36	36	32	29	34	41
ACAA1	221	182	176	222	207	215
BCAT1	2287	2354	2047	1107	1240	1119
HDAC7	828	841	699	831	779	675
LZTS1	222	203	190	4	3	1
PRDM6	0	1	1	14	8	16
SPAG4	30	25	26	19	19	16
NCKAP1	1478	1456	1321	1190	1275	1199
MRPS35	475	438	413	396	406	360
GUCY1B1	6	4	5	79	73	90
SFSWAP	720	720	665	688	685	610
TNK2	356	298	271	386	325	304
MON2	710	703	669	656	712	670
GPBP1	661	678	586	643	705	626
DGAT2	64	64	58	66	57	43
ZNF112	87	78	83	58	38	59
CS	820	802	733	812	766	708
LTK	2	2	1	0	0	1
MRPS24	11	6	7	6	6	6
ELMO2	678	690	605	323	270	279
WAPL	1122	1133	987	967	1023	921
VMP1	631	619	595	816	880	827
APPBP2	442	448	394	338	338	355
POLD1	683	678	610	607	585	521
EIF4B	1041	1043	942	840	838	827
SLC6A16	83	89	78	67	67	58
BICRA	409	331	340	329	262	244
SPHK2	265	275	216	303	288	245
RPL18	555	537	465	551	532	511
CA11	372	354	322	412	400	404
ISOC2	274	255	221	270	228	229
U2AF2	1338	1298	1257	1309	1275	1179
EPN1	864	851	731	732	697	620
MED29	372	363	340	253	237	219
ZNF275	484	460	373	516	493	487
MTMR1	453	396	373	376	398	335
GPC1	638	654	535	920	786	703
ADCK1	103	83	73	73	75	60
HAGH	203	220	192	227	226	176
RNF4	734	667	593	815	845	738
CASP8	393	351	345	284	305	311
LIMCH1	7	2	6	18	14	27
INTS13	438	423	403	466	481	450
TM7SF3	461	501	469	261	293	265
DLX3	1	2	1	71	86	71
SPA17	88	97	80	62	64	80
NGFR	35	39	30	4	3	5
CDON	214	215	179	145	135	139
TAF2	705	711	612	866	906	848
HIPK2	135	100	122	461	428	417
TNPO3	953	1003	892	908	878	817
RFXANK	337	312	311	203	178	158
TMEM161A	345	351	287	366	347	278
LPAR2	13	19	11	25	20	16
CTSA	433	377	356	626	626	532
SUGP2	965	910	779	779	777	650
SLC12A2	828	829	780	810	861	771
SNX24	93	81	94	108	96	111
CNN2	1159	1130	1067	1007	993	922
ABCA7	485	473	423	245	253	205
DDX20	484	468	426	232	244	231
BTBD1	717	685	639	774	815	713
FAR2	127	133	115	2	1	7
BCAS1	12	8	5	3	5	6
POU1F1	37	27	29	199	203	193
